Wall time,Step,Value
1570108459.7815108,14668,0.000549066870007664
1570108580.4832273,14717,0.0007555066840723157
1570109059.6815746,14911,0.008941343054175377
1570109180.5474606,14960,0.0028960215859115124
1570109420.0169675,15057,0.00513342535123229
1570109780.7826345,15203,0.009538213722407818
1570110380.7491481,15446,0.0004115490592084825
1570110499.5828755,15494,0.0017884590197354555
1570110620.253634,15543,0.011581691913306713
1570111220.338564,15786,0.00206016912125051
1570111339.5999908,15834,0.009837109595537186
1570111459.9758158,15883,0.003716066014021635
1570111820.1093218,16029,0.000518337357789278
1570112901.0902185,16467,0.01289921160787344
1570113141.074726,16564,0.00018245405226480216
1570113859.6541681,16855,0.0034417498391121626
1570115419.677916,17487,0.0004315620753914118
1570115779.6274612,17633,0.001098321983590722
1570116260.842576,17828,7.726618059678003e-05
1570116980.4262145,18120,0.0003470594238024205
1570117459.5789816,18314,0.009450199082493782
1570117579.9810195,18363,0.001381869544275105
1570117700.7752311,18412,0.00851921271532774
1570117940.18302,18509,0.002047862857580185
1570118060.9503806,18558,0.0012636756291612983
1570118660.2685184,18801,0.006509504746645689
1570119259.5724792,19044,0.0011760254856199026
1570119380.098539,19093,0.0009636238683015108
1570122019.7937803,20163,0.00029926165007054806
1570122140.8654406,20212,0.00019185284327249974
1570122860.7158346,20504,0.002015183912590146
1570123099.699446,20601,0.0006357127567753196
1570123341.194654,20699,0.00026299216551706195
1570124899.586862,21331,0.001352614490315318
1570125019.787494,21380,0.000776018830947578
1570125259.5958765,21477,0.018085096031427383
1570125500.2519825,21575,0.0012243296951055527
1570125980.4898663,21770,0.0006247633136808872
1570127180.4020364,22257,0.0008730424451641738
1570127419.7088435,22354,0.0003590869018808007
1570127540.2618508,22403,0.013694414868950844
1570127899.838284,22549,6.897123967064545e-05
1570128259.7162745,22695,0.0009130680118687451
1570129099.6224601,23036,0.000680320430546999
1570129580.0988936,23231,0.016390850767493248
1570130779.764002,23718,0.013232417404651642
1570130900.4817235,23767,0.0023016699124127626
1570131140.0083125,23864,0.006498434580862522
